CP,First Difference
2916.9,
2932.05,15.15
3003.95,71.9
2998.6,-5.35
3006.7,8.1
2963.55,-43.15
3014.9,51.35
3099.15,84.25
3080.45,-18.7
3104.25,23.8
3089.5,-14.75
3057.3,-32.2
2970.75,-86.55
2918.55,-52.2
2915.95,-2.6
2987.95,72
2897.25,-90.7
2902.5,5.25
2894.55,-7.95
3064.2,169.65
3091.55,27.35
3141.1,49.55
3152.25,11.15
3155.8,3.55
3172.8,17
3204.45,31.65
3229.1,24.65
3168.65,-60.45
3213.95,45.3
3168.1,-45.85
3178.85,10.75
3208.65,29.8
3194.15,-14.5
3223,28.85
3258.2,35.2
3228.65,-29.55
3223.45,-5.2
3263.1,39.65
3266.15,3.05
3327.55,61.4
3300.45,-27.1
3216.95,-83.5
3290.35,73.4
3317.8,27.45
3333.95,16.15
3316.3,-17.65
3308.7,-7.6
3233.4,-75.3
3226.25,-7.15
3207,-19.25
3120.65,-86.35
2904.95,-215.7
3087.7,182.75
3132.5,44.8
3110.4,-22.1
3052.5,-57.9
3051.25,-1.25
3065.5,14.25
3105.45,39.95
3106.6,1.15
3122.25,15.65
3193.55,71.3
3251.05,57.5
3267.65,16.6
3235.4,-32.25
3211.1,-24.3
3221.85,10.75
3224.05,2.2
3197.05,-27
3242.15,45.1
3208.75,-33.4
3148.6,-60.15
3105.95,-42.65
3020,-85.95
3025.7,5.7
3064.6,38.9
3063.25,-1.35
3042.85,-20.4
3116.4,73.55
3079.9,-36.5
3079.55,-0.35
3054.3,-25.25
3037.15,-17.15
2993.3,-43.85
2875.15,-118.15
2835.4,-39.75
2860.1,24.7
2766.75,-93.35
2799.2,32.45
2880.5,81.3
3037.05,156.55
3052.6,15.55
3040.9,-11.7
3060.25,19.35
3060.45,0.2
3115.75,55.3
3139.6,23.85
3391.2,251.6
3384.65,-6.55
3288.1,-96.55
3244.35,-43.75
3259.2,14.85
3193.1,-66.1
3411.45,218.35
3645.35,233.9
2939.95,-705.4
3117.05,177.1
3183.35,66.3
3218.7,35.35
3218.45,-0.25
3221.95,3.5
3215.65,-6.3
3224,8.35
3263.5,39.5
3307.9,44.4
3260.55,-47.35
3258.25,-2.3
3187.95,-70.3
3194.5,6.55
3169.4,-25.1
3169.35,-0.05
3174.85,5.5
3175.55,0.7
3182.85,7.3
3150.6,-32.25
3189.65,39.05
3144.95,-44.7
3147.55,2.6
3112.5,-35.05
3108.9,-3.6
3097.6,-11.3
3077.95,-19.65
3063.95,-14
3090.1,26.15
3110,19.9
3090.55,-19.45
3006.05,-84.5
3000.15,-5.9
2986.15,-14
2968.85,-17.3
2975.5,6.65
3081.35,105.85
3088.75,7.4
3128.55,39.8
3169.1,40.55
3218.75,49.65
3160.65,-58.1
3035.95,-124.7
3074.9,38.95
3185.25,110.35
3165.7,-19.55
3186.8,21.1
3152,-34.8
3091.4,-60.6
3039.3,-52.1
3108.05,68.75
3102.1,-5.95
3071.2,-30.9
3115.55,44.35
3099.6,-15.95
3075.95,-23.65
3068.9,-7.05
3066.95,-1.95
3022.75,-44.2
3021.75,-1
3019.9,-1.85
3043.9,24
3036.55,-7.35
3012.5,-24.05
3014.85,2.35
2976.85,-38
2964.65,-12.2
2985.85,21.2
2937.35,-48.5
2991.4,54.05
2968.6,-22.8
2984.55,15.95
2974.7,-9.85
2954.1,-20.6
2942.35,-11.75
3008.45,66.1
3044,35.55
3092.4,48.4
3104.75,12.35
3121.15,16.4
3131.15,10
3134.75,3.6
3184.8,50.05